Código,Descripción;
P0001,Circuito de control del regulador de volumen de combustible - Abierto;
P0002,Circuito de control del regulador de volumen de combustible - Rango/Rendimiento;
P0003,Circuito de control del regulador de volumen de combustible - Bajo;
P0004,Circuito de control del regulador de volumen de combustible - Alto;
P0005,Circuito de válvula de corte de combustible - abierto.;
P0006,Circuito de válvula de corte de combustible - bajo.;
P0007,Circuito de válvula de corte de combustible - alto.;
P0008,Error de posición entre cigüeñal y árbol de levas (Arbol1);
P0009,Error de posición entre cigüeñal y árbol de levas (Arbol2);
P000A,Camshaft Position Slow Response Bank 1;
P000B,B Camshaft Position Slow Response Bank 1;
P000C,A Camshaft Position Slow Response Bank 2;
P000D,B Camshaft Position Slow Response Bank 2;
P0010,Fallo en la valvula de la distribucion variable 1 circuito abierto;
P0011,Árbol de levas 1 Sincronización adelantada.;
P0012,Árbol de levas 1 Sincronización retrasada.;
P0013,Posición del árbol de levas 2 Actuador falla;
P0014,Árbol de levas 2 Sincronización adelantada.;
P0015,Árbol de levas 2 Sincronización retrasada;
P0016,Posición del Cigüeñal Relación incorrecta con el árbol de levas 1;
P0017,Posición del Cigüeñal Relación incorrecta con el árbol de levas 2;
P0018,Posición del Cigüeñal Relación incorrecta con el árbol de levas 3;
P0019,Posición del Cigüeñal Relación incorrecta con el árbol de levas 4;
P0020,Fallo en la válvula de la distribución variable 2 Circuito abierto.;
P0021,Fallo en la válvula de la distribución variable 1. Posición avanzada;
P0022,Fallo en la válvula de la distribución variable 1. Posición retrasada.;
P0023,Fallo en la válvula de la distribución variable 2. Circuito abierto.;
P0024,;Fallo en la válvula de la distribución variable 2. Posición avanzada
P0025,;Fallo en la válvula de la distribución variable 2. Posición retrasada.
P0026,;Árbol de levas ,solenoide de admisión no funciona cuando se ordena.Fuera de rango.
P0027,;Árbol de levas, solenoide de escape no funciona cuando se ordena..Rendimiento
P0028,;Árbol de levas 1 solenoide de admisión no funciona cuando se ordena.Fuera de rango.
P0029,;Árbol de levas 1, solenoide de escape no funciona cuando se ordena..Rendimiento
P0030,;Fallo en el calentador de la sonda lambda Banco 1 sensor 1
P0031,;Fallo en el calentador de la sonda lambda. Tensión baja. Banco 1 sensor 1
P0032,;Fallo en el calentador de la sonda lambda. Tensión alta. Banco 1 sensor 1
P0033,;Fallo de la válvula de derivación del turbocompresor. Válvula de descarga
P0034,;Fallo de la válvula de derivación del turbo. Válvula de descarga,circuito bajo
P0035,;Fallo de la válvula de derivación del turbo. Válvula de descarga,circuito Alto
P0036,;Fallo sonda lambda circuito del calentador Banco 1 sensor 2
P0037,;Fallo calentador sonda lambda circuito bajo. Banco 1 sensor 2
P0038,;Fallo calentador sonda lambda circuito alto. Banco 1 sensor 2
P0039,;Valvula derivación del turbo fuera de rango
P0040,;Señales de la sonda lambda cambiadas Banco 1 Sensor 1 / Banco 2 Sensor 1
P0041,;Señales de la sonda lambda cambiadas 1 Sensor 2 / Banco 2 Sensor 2
P0042,;Circuito defectuoso en el calentador de la sonda lambda Sensor 3 bloque 1
P0043,;Circuito bajo en el calentador de la sonda lambda Sensor 3 bloque 1
P0044,;Circuito alto en el calentador de la sonda lambda Sensor 3 bloque 1
P0045,;Solenoide del turbocompresor circuito abierto
P0046,;Solenoide del turbocompresor circuito Rendimiento incorrecto
P0047,;Solenoide del turbocompresor circuito bajo
P0048,;Solenoide del turbocompresor circuito alta
P0049,;Exceso de velocidad en el turbo
P004A,;Turbocharger/Supercharger Boost Control Solenoid B Circuit / Open
P004B,;Turbocharger/Supercharger Boost Control Solenoid B Circuit
P004C,;Turbocharger/Supercharger Boost Control Solenoid B Circuit Low
P004D,;Turbocharger/Supercharger Boost Control Solenoid B Circuit High
P004E,;Turbocharger/Supercharger Boost Control Solenoid A Circuit Intermittent/Erratic
P004F,;Turbocharger/Supercharger Boost Control Solenoid B Circuit Intermittent/Erratic
P0050,;Calentador sonda lambda (Sensor 1 bloque 2) circuito defectuoso
P0051,;Calentador sonda lambda (Sensor 1 bloque 2) circuito bajo
P0052,;Calentador sonda lambda (Sensor 1 bloque 2) circuito alto
P0053,;Calentador sonda lambda (Sensor 1 bloque 1) – resistencia
P0054,;Calentador sonda lambda (Sensor 2 bloque 1) – resistencia
P0055,;Calentador sonda lambda (Sensor 3 bloque 1) – resistencia
P0056,;Calentador sonda lambda (Sensor 2 bloque 2) circuito defectuoso
P0057,;Calentador sonda lambda (Sensor 2 bloque 2) señal baja
P0058,;Calentador sonda lambda (Sensor 2 bloque 2) señal alta
P0059,;Calentador sonda lambda (Sensor 1 bloque 2) resistencia.
P0060,;Calentador sonda lambda (Sensor 2 bloque 2) resistencia.
P0061,;Calentador sonda lambda (Sensor 3 bloque 2) resistencia.
P0062,;Calentador sonda lambda (Sensor 3 bloque 2) circuito defectuoso
P0063,;Calentador sonda lambda (Sensor 3 bloque 2) señal baja
P0064,;Calentador sonda lambda (Sensor 3 bloque 2) señal alta
P0065,;Rendimiento incorrecto del inyector de aire asistido.
P0066,;inyector de aire asistido , señal baja
P0067,;inyector de aire asistido , señal alta
P0068,;MAP / MAF y mariposa no coinciden en los datos
P0069,;No coinciden los datos del sensor de presión barométrica con presión absoluta.
P006A,;MAP Mass or Volume Air Flow Correlation
P006B,;MAP Exhaust Pressure Correlation
